Date,License Plate,Description,Camera,Site,Cleaned License Plate,Validation Reason,Make,Type Approval,Lookup Status,Lookup Status Code
11/03/2025 04:54:39 PM UTC,BF22RNZ,,CB52-E Bullet Camera,Coventry,BF22RNZ,Valid UK current registration format,PEUGEOT,M1,Success,0
11/03/2025 04:47:55 PM UTC,FL12TX0,,CB52-E Bullet Camera,Coventry,FL12TX0,Valid UK dateless registration format,,,InvalidSearchTerm,13
11/03/2025 04:46:44 PM UTC,VA59KPY,,CB52-E Bullet Camera,Coventry,VA59KPY,Valid UK current registration format,VOLKSWAGEN,M1,Success,0
11/03/2025 04:41:35 PM UTC,LS67GKK,,CB52-E Bullet Camera,Coventry,LS67GKK,Valid UK current registration format,MERCEDES-BENZ,M1,Success,0
11/03/2025 04:28:57 PM UTC,WD15BXM,,CB52-E Bullet Camera,Coventry,WD15BXM,Valid UK current registration format,,,NoResultsFound,2
11/03/2025 04:14:07 PM UTC,PH51FYH,,CB52-E Bullet Camera,Coventry,PH51FYH,Valid UK current registration format,AUDI,M1,Success,0
11/03/2025 04:10:07 PM UTC,BH17PPF,,CB52-E Bullet Camera,Coventry,BH17PPF,Valid UK current registration format,TOYOTA,M1,Success,0
11/03/2025 03:56:12 PM UTC,FE68VEV,,CB52-E Bullet Camera,Coventry,FE68VEV,Valid UK current registration format,MERCEDES-BENZ,M1,Success,0
11/03/2025 03:54:32 PM UTC,RE12JJV,,CB52-E Bullet Camera,Coventry,RE12JJV,Valid UK current registration format,SMART,M1,Success,0
11/03/2025 03:49:07 PM UTC,KD07MAV,,CB52-E Bullet Camera,Coventry,KD07MAV,Valid UK current registration format,HYUNDAI,M1,Success,0
11/03/2025 03:46:48 PM UTC,EK23CDE,,CB52-E Bullet Camera,Coventry,EK23CDE,Valid UK current registration format,MERCEDES-BENZ,N2,Success,0
11/03/2025 03:45:16 PM UTC,LM69WBM,,CB52-E Bullet Camera,Coventry,LM69WBM,Valid UK current registration format,MERCEDES-BENZ,M1,Success,0
11/03/2025 03:35:58 PM UTC,FA16MXV,,CB52-E Bullet Camera,Coventry,FA16MXV,Valid UK current registration format,NISSAN,M1,Success,0
11/03/2025 03:31:46 PM UTC,RE12JJV,,CB52-E Bullet Camera,Coventry,RE12JJV,Valid UK current registration format,SMART,M1,Success,0
11/03/2025 03:27:42 PM UTC,AK67DRZ,,CB52-E Bullet Camera,Coventry,AK67DRZ,Valid UK current registration format,KIA,M1,Success,0
11/03/2025 03:26:58 PM UTC,YJ65NYX,,CB52-E Bullet Camera,Coventry,YJ65NYX,Valid UK current registration format,TOYOTA,,SuccessWithResultsBlockWarnings,1
11/03/2025 03:26:31 PM UTC,BN64KLA,,CB52-E Bullet Camera,Coventry,BN64KLA,Valid UK current registration format,VAUXHALL,M1,Success,0
11/03/2025 03:13:07 PM UTC,EU73YV0,,CB52-E Bullet Camera,Coventry,EU73YV0,Valid UK dateless registration format,,,InvalidSearchTerm,13
